Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2014-15,24,MIA,NBA,SF,62,3,17.0,1.6,4.0,.409,0.5,1.5,.326,1.1,2.5,.461,.472,1.3,1.5,.840,0.8,2.0,2.8,0.8,0.4,0.3,0.6,1.4,5.0
2015-16,25,TOT,NBA,SF,22,5,15.0,2.5,5.1,.478,1.2,2.6,.448,1.3,2.5,.509,.593,1.1,1.5,.735,1.0,1.0,1.9,1.0,0.7,0.2,0.9,1.3,7.2
2015-16,25,MIA,NBA,SF,3,0,2.3,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.3,0.0
2015-16,25,MEM,NBA,SF,10,0,4.0,0.4,1.3,.308,0.2,0.8,.250,0.2,0.5,.400,.385,0.6,1.0,.600,0.4,0.3,0.7,0.2,0.4,0.2,0.2,0.1,1.6
2015-16,25,NOP,NBA,SF,9,5,31.3,5.6,11.1,.500,2.7,5.6,.480,2.9,5.6,.520,.620,2.1,2.7,.792,1.9,2.0,3.9,2.0,1.3,0.3,1.9,2.9,15.9
2016-17,26,MEM,NBA,SF,64,28,23.5,2.3,5.0,.455,0.8,2.1,.372,1.5,2.9,.516,.534,1.3,1.7,.782,1.1,3.0,4.0,1.0,0.7,0.3,0.9,2.6,6.7
2017-18,27,TOT,NBA,SF,72,22,22.3,2.5,5.3,.474,0.7,2.1,.333,1.8,3.2,.567,.540,1.3,1.6,.836,1.0,2.1,3.1,1.0,0.7,0.3,0.8,1.9,7.1
2017-18,27,MEM,NBA,SF,45,14,23.4,2.4,4.9,.486,0.7,1.9,.357,1.7,3.1,.565,.554,1.4,1.6,.877,1.2,2.3,3.5,1.1,0.7,0.3,0.8,1.8,6.9
2017-18,27,DET,NBA,SF,27,8,20.4,2.7,6.0,.457,0.8,2.6,.304,2.0,3.4,.570,.522,1.2,1.6,.767,0.7,1.7,2.5,0.8,0.6,0.2,0.7,2.0,7.5
2018-19,28,TOT,NBA,SF,58,27,21.2,2.4,5.1,.469,0.9,2.7,.353,1.4,2.4,.601,.563,1.0,1.4,.716,1.0,2.1,3.1,0.7,0.7,0.4,0.6,2.6,6.7
2018-19,28,HOU,NBA,SF,40,25,23.7,2.6,5.3,.493,1.1,3.0,.367,1.5,2.3,.659,.597,1.1,1.5,.724,0.9,2.0,2.9,0.7,1.0,0.4,0.6,2.8,7.4
2018-19,28,PHI,NBA,SF,18,2,15.6,1.9,4.6,.410,0.6,2.0,.306,1.3,2.6,.489,.476,0.9,1.3,.696,1.3,2.3,3.6,0.8,0.2,0.4,0.6,2.2,5.3
2019-20,29,PHI,NBA,SF,15,0,15.9,2.7,4.7,.563,0.8,1.8,.444,1.9,2.9,.636,.648,1.1,1.6,.708,1.4,2.3,3.7,0.7,0.4,0.2,0.7,1.8,7.3
Career,,,NBA,,293,85,20.3,2.3,4.9,.462,0.8,2.1,.361,1.5,2.7,.541,.541,1.2,1.6,.789,1.0,2.2,3.2,0.9,0.6,0.3,0.7,2.0,6.5
