Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2014-15,24,TOT,NBA,PF,24,1,6.8,1.1,2.0,.574,0.0,0.3,.000,1.1,1.7,.659,.574,0.3,0.4,.800,0.8,1.1,1.9,0.2,0.2,0.2,0.6,1.0,2.6
2014-15,24,SAS,NBA,PF,4,0,6.3,1.0,1.8,.571,0.0,0.5,.000,1.0,1.3,.800,.571,0.0,0.0,,0.8,0.8,1.5,0.0,0.0,0.5,0.5,1.5,2.0
2014-15,24,MEM,NBA,PF,20,1,7.0,1.2,2.0,.575,0.0,0.2,.000,1.2,1.8,.639,.575,0.4,0.5,.800,0.8,1.2,2.0,0.2,0.3,0.2,0.6,1.0,2.7
2015-16,25,MEM,NBA,PF,78,15,18.5,2.9,6.3,.465,0.2,0.6,.333,2.8,5.8,.478,.480,1.3,1.8,.752,1.8,3.0,4.8,0.9,0.6,0.4,1.1,2.4,7.4
2016-17,26,MEM,NBA,PF,77,75,27.3,3.2,6.5,.500,0.7,1.9,.379,2.5,4.6,.549,.555,1.7,2.2,.802,2.2,4.9,7.1,1.1,0.6,0.4,1.2,3.2,8.9
2017-18,27,MEM,NBA,PF,55,54,28.0,4.1,8.9,.457,0.8,2.3,.339,3.3,6.6,.499,.501,1.5,2.0,.721,2.7,5.8,8.4,1.4,0.6,0.5,1.4,2.8,10.3
2018-19,28,TOT,NBA,PF,65,6,21.1,3.5,7.3,.483,1.1,2.7,.403,2.4,4.6,.530,.558,1.2,1.6,.792,1.6,4.7,6.3,0.8,0.7,0.5,1.3,3.0,9.4
2018-19,28,MEM,NBA,PF,41,4,22.0,3.7,7.6,.484,0.9,2.3,.396,2.8,5.3,.523,.545,1.5,2.0,.788,1.8,4.4,6.1,0.9,0.8,0.6,1.6,3.0,9.8
2018-19,28,LAC,NBA,PF,24,2,19.6,3.3,6.8,.482,1.4,3.3,.413,1.9,3.5,.548,.582,0.7,0.9,.810,1.3,5.2,6.5,0.6,0.5,0.3,1.0,2.9,8.7
2019-20,29,LAC,NBA,PF,16,0,22.2,2.7,6.6,.406,1.6,4.4,.371,1.1,2.3,.472,.528,0.9,1.1,.824,1.5,5.6,7.1,0.4,0.6,0.3,1.1,2.7,7.9
Career,,,NBA,,315,151,22.2,3.2,6.7,.475,0.7,1.8,.369,2.5,4.9,.514,.525,1.3,1.7,.772,1.9,4.3,6.2,0.9,0.6,0.4,1.2,2.7,8.4
