Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2011-12,21,NYK,NBA,PG,59,35,28.9,3.6,9.1,.401,0.8,2.7,.306,2.8,6.4,.440,.446,1.5,1.8,.798,0.7,2.4,3.2,2.8,1.7,0.1,1.9,2.9,9.5
2012-13,22,NYK,NBA,SG,45,45,22.1,2.4,6.1,.396,1.1,2.8,.402,1.3,3.3,.392,.489,0.8,1.0,.766,0.7,2.3,3.0,1.7,1.0,0.2,0.8,2.2,6.8
2013-14,23,NYK,NBA,SG,74,58,26.5,2.5,6.5,.378,1.0,3.1,.333,1.4,3.5,.418,.457,0.7,1.0,.746,1.1,3.1,4.2,1.7,1.2,0.2,1.1,2.8,6.7
2014-15,24,TOT,NBA,SG,62,25,24.9,3.1,7.6,.410,1.1,3.2,.342,2.0,4.4,.458,.481,0.7,1.0,.672,0.9,2.7,3.6,2.2,1.3,0.3,1.5,2.2,8.0
2014-15,24,NYK,NBA,SG,24,24,26.0,3.7,9.0,.409,1.0,2.8,.348,2.7,6.2,.436,.463,1.0,1.5,.676,0.9,2.5,3.4,3.3,1.3,0.1,1.8,2.8,9.3
2014-15,24,CLE,NBA,SG,38,1,24.2,2.8,6.7,.410,1.2,3.4,.338,1.6,3.3,.484,.496,0.5,0.7,.667,0.9,2.9,3.8,1.5,1.3,0.3,1.3,1.9,7.2
2015-16,25,CLE,NBA,SG,54,5,24.4,2.1,5.6,.374,0.8,2.7,.295,1.3,2.9,.447,.444,0.7,0.9,.784,0.6,3.2,3.8,1.7,1.0,0.4,1.1,2.2,5.8
2016-17,26,CLE,NBA,SG,76,31,25.5,2.6,6.4,.411,1.2,3.4,.360,1.4,3.0,.469,.507,0.9,1.2,.789,0.5,2.4,2.9,1.4,0.8,0.4,1.0,2.0,7.5
2017-18,27,CLE,NBA,SG,14,6,19.7,1.6,4.1,.379,0.5,1.9,.269,1.1,2.3,.469,.440,0.8,1.1,.733,0.5,2.4,2.9,1.2,0.6,0.3,1.1,1.6,4.4
2018-19,28,TOT,NBA,SG,62,41,23.9,2.7,7.2,.374,1.5,4.4,.348,1.2,2.8,.416,.481,0.6,0.7,.800,0.4,2.5,3.0,1.8,1.0,0.4,0.8,2.0,7.5
2018-19,28,SAC,NBA,SG,42,40,26.2,3.2,8.3,.382,1.8,4.8,.366,1.4,3.5,.404,.489,0.8,1.0,.829,0.5,2.6,3.1,2.2,1.1,0.5,0.9,2.2,8.9
2018-19,28,HOU,NBA,SG,20,1,19.1,1.7,4.9,.347,1.1,3.6,.296,0.7,1.4,.481,.454,0.1,0.2,.500,0.4,2.3,2.7,1.1,0.6,0.2,0.6,1.8,4.6
2019-20,29,BRK,NBA,SG,4,0,18.5,2.0,5.8,.348,0.8,3.8,.200,1.3,2.0,.625,.413,0.3,0.8,.333,0.8,2.5,3.3,0.3,0.8,0.0,1.3,1.8,5.0
Career,,,NBA,,450,246,25.1,2.7,6.9,.393,1.1,3.2,.339,1.6,3.7,.439,.471,0.8,1.1,.764,0.7,2.7,3.4,1.9,1.1,0.3,1.2,2.3,7.3
