Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010-11,21,LAC,NBA,PG,81,25,22.7,2.5,6.0,.424,0.4,1.4,.276,2.1,4.6,.470,.457,1.2,1.6,.744,0.8,1.9,2.8,3.6,1.1,0.3,2.4,1.6,6.7
2011-12,22,LAC,NBA,PG,40,1,11.6,1.2,3.2,.389,0.2,0.8,.200,1.1,2.4,.448,.413,0.7,1.1,.636,0.6,1.1,1.6,1.7,0.8,0.4,1.2,1.5,3.3
2012-13,23,LAC,NBA,PG,76,12,20.4,3.3,7.5,.445,0.4,1.0,.397,2.9,6.4,.453,.473,1.4,1.8,.791,1.0,1.9,3.0,3.1,1.4,0.7,1.8,1.5,8.5
2013-14,24,PHO,NBA,PG,43,40,32.9,6.2,12.9,.477,1.2,3.3,.357,5.0,9.7,.517,.522,4.3,5.5,.772,0.6,4.1,4.7,5.5,1.6,0.3,3.3,2.3,17.7
2014-15,25,PHO,NBA,PG,81,81,34.6,5.8,12.9,.447,1.1,3.4,.324,4.7,9.6,.491,.489,4.4,5.4,.800,0.9,4.3,5.2,6.1,1.6,0.6,3.4,2.3,17.0
2015-16,26,PHO,NBA,PG,31,31,34.2,7.2,15.9,.453,1.5,4.2,.372,5.6,11.7,.482,.502,4.5,5.5,.802,0.6,3.5,4.0,6.1,2.0,0.6,3.5,2.4,20.4
2016-17,27,PHO,NBA,PG,66,66,33.0,6.8,15.7,.434,1.6,4.7,.335,5.2,11.0,.477,.485,5.9,6.9,.847,0.8,4.1,4.8,6.3,1.4,0.5,3.4,2.5,21.1
2017-18,28,TOT,NBA,PG,74,74,31.4,6.3,13.4,.473,1.7,4.9,.347,4.6,8.5,.545,.536,3.4,4.3,.795,0.7,3.1,3.8,5.0,2.0,0.6,2.9,2.5,17.7
2017-18,28,PHO,NBA,PG,3,3,27.7,5.3,13.3,.400,1.3,4.3,.308,4.0,9.0,.444,.450,3.7,4.7,.786,1.0,1.3,2.3,3.0,1.3,0.7,3.3,2.0,15.7
2017-18,28,MIL,NBA,PG,71,71,31.5,6.4,13.4,.476,1.7,4.9,.349,4.7,8.5,.550,.540,3.4,4.3,.795,0.7,3.2,3.9,5.1,2.0,0.6,2.9,2.5,17.8
2018-19,29,MIL,NBA,PG,78,78,29.1,6.0,12.4,.484,1.6,4.8,.329,4.4,7.6,.582,.548,2.3,3.0,.750,1.1,3.6,4.6,5.5,1.5,0.4,2.1,2.0,15.9
2019-20,30,MIL,NBA,PG,15,15,27.3,6.7,14.1,.474,1.4,4.7,.300,5.3,9.4,.560,.524,3.3,4.1,.803,1.1,4.3,5.4,5.3,0.7,0.3,2.4,2.8,18.0
Career,,,NBA,,585,423,27.9,5.0,11.1,.455,1.1,3.2,.334,4.0,7.9,.505,.504,3.0,3.8,.794,0.8,3.1,3.9,4.8,1.5,0.5,2.6,2.1,14.2
