Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2012-13,20,GSW,NBA,SF,81,81,25.4,3.4,7.8,.439,0.6,1.8,.359,2.8,6.0,.464,.481,1.8,2.3,.758,0.7,3.5,4.1,1.2,0.6,0.2,1.2,1.7,9.2
2013-14,21,GSW,NBA,SF,78,24,28.3,3.5,8.7,.399,0.8,2.4,.347,2.6,6.3,.419,.448,1.7,2.3,.718,0.8,3.1,4.0,1.5,0.8,0.3,1.1,2.0,9.5
2014-15,22,GSW,NBA,SF,82,82,28.3,3.9,8.0,.482,1.1,2.6,.405,2.8,5.4,.519,.548,1.3,1.8,.720,1.4,4.1,5.5,1.4,0.7,0.2,0.9,1.8,10.1
2015-16,23,GSW,NBA,SF,66,59,30.9,4.5,9.6,.466,1.2,3.2,.383,3.2,6.3,.508,.531,1.5,2.0,.761,1.2,3.8,4.9,1.8,0.6,0.2,0.9,2.1,11.7
2016-17,24,DAL,NBA,PF,79,79,35.5,7.6,16.2,.468,1.0,2.8,.351,6.6,13.4,.492,.498,3.1,3.6,.861,1.2,3.8,5.0,1.5,0.8,0.2,1.3,1.6,19.2
2017-18,25,DAL,NBA,PF,77,77,34.2,7.0,15.7,.445,1.5,4.3,.357,5.4,11.4,.478,.494,3.4,4.1,.827,1.0,5.1,6.1,2.0,0.6,0.2,1.5,1.2,18.9
2018-19,26,TOT,NBA,PF-SF,77,77,32.9,5.6,13.3,.420,2.3,5.7,.395,3.3,7.6,.439,.504,3.0,3.6,.824,0.7,3.9,4.7,1.5,0.6,0.2,1.3,1.6,16.4
2018-19,26,DAL,NBA,PF,49,49,32.3,5.9,14.6,.404,2.5,6.3,.389,3.4,8.3,.416,.489,3.4,4.0,.833,0.7,3.5,4.2,1.3,0.7,0.2,1.4,1.6,17.7
2018-19,26,SAC,NBA,SF,28,28,33.9,5.0,11.1,.455,1.9,4.6,.408,3.1,6.4,.489,.540,2.3,2.9,.800,0.8,4.8,5.5,1.9,0.6,0.1,1.1,1.5,14.3
2019-20,27,SAC,NBA,PF,16,16,34.1,5.4,10.8,.503,1.6,4.0,.406,3.8,6.8,.560,.578,3.6,4.5,.792,1.1,3.6,4.8,1.9,0.9,0.3,1.4,1.4,16.1
Career,,,NBA,,556,495,30.8,5.1,11.3,.447,1.2,3.3,.375,3.8,8.0,.477,.502,2.3,2.9,.795,1.0,3.9,4.9,1.5,0.7,0.2,1.2,1.7,13.6
