Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2012-13,22,POR,NBA,SG,73,5,12.2,1.6,4.2,.382,0.1,0.9,.138,1.5,3.3,.447,.396,0.7,0.9,.769,0.5,1.5,2.0,0.8,0.5,0.1,0.8,0.8,4.0
2013-14,23,POR,NBA,SG,41,0,9.4,1.6,3.8,.417,0.2,0.8,.303,1.3,3.0,.447,.449,0.6,0.8,.813,0.4,1.4,1.8,0.8,0.2,0.2,0.4,0.8,4.0
2014-15,24,TOT,NBA,SG,58,0,16.9,2.6,6.1,.425,0.4,1.5,.271,2.2,4.6,.474,.458,1.3,1.6,.787,0.4,2.3,2.8,1.4,0.8,0.3,1.1,1.2,6.8
2014-15,24,POR,NBA,SG,30,0,10.0,1.3,3.3,.380,0.1,0.6,.222,1.1,2.7,.415,.400,0.3,0.5,.667,0.1,1.0,1.1,0.9,0.5,0.1,0.6,0.7,3.0
2014-15,24,DEN,NBA,SG,28,0,24.4,4.0,9.0,.443,0.7,2.4,.284,3.3,6.6,.500,.480,2.3,2.8,.810,0.8,3.8,4.6,1.9,1.2,0.5,1.6,1.8,11.0
2015-16,25,DEN,NBA,SG,82,1,28.7,5.2,12.0,.432,1.4,4.0,.345,3.8,8.0,.476,.489,2.6,3.3,.806,0.7,5.1,5.8,2.5,0.9,0.5,1.7,1.8,14.4
2016-17,26,DEN,NBA,SG,60,19,28.4,4.9,11.1,.443,1.5,3.9,.370,3.5,7.2,.483,.508,2.4,3.2,.753,1.0,3.4,4.3,3.4,0.8,0.5,1.6,1.8,13.7
2017-18,27,DEN,NBA,SG,81,40,33.1,5.7,12.7,.452,1.9,5.2,.370,3.8,7.5,.510,.528,2.2,2.8,.805,0.9,4.2,5.0,4.1,1.0,0.6,1.8,2.1,15.7
2018-19,28,DEN,NBA,SF,43,38,27.7,4.3,10.7,.402,1.6,4.6,.342,2.7,6.1,.447,.475,1.3,1.7,.770,0.7,3.9,4.6,2.9,0.4,0.5,1.5,1.9,11.5
2019-20,29,DEN,NBA,SF,12,12,31.8,5.5,12.1,.455,1.8,4.2,.440,3.7,7.9,.463,.531,2.0,2.8,.727,1.7,5.2,6.8,2.9,1.0,0.5,1.2,2.0,14.8
Career,,,NBA,,450,115,23.5,3.9,9.1,.431,1.1,3.1,.344,2.9,6.0,.477,.491,1.7,2.2,.786,0.7,3.3,4.0,2.4,0.7,0.4,1.3,1.5,10.7
