Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,22,MIN,NBA,SG,76,1,18.2,2.5,5.9,.424,0.8,2.1,.395,1.7,3.8,.441,.496,0.8,0.9,.871,0.4,1.7,2.1,1.0,0.3,0.1,1.0,0.9,6.6
2010-11,23,MIN,NBA,SG,62,8,19.0,2.6,6.4,.403,0.8,2.0,.397,1.8,4.5,.406,.463,0.7,0.9,.792,0.4,1.3,1.7,1.2,0.5,0.0,0.9,1.4,6.6
2011-12,24,MIN,NBA,SG,51,4,19.1,2.4,5.9,.404,0.7,2.1,.324,1.7,3.8,.448,.462,0.6,0.8,.800,0.3,1.7,1.9,0.6,0.5,0.2,0.5,1.1,6.1
2012-13,25,TOT,NBA,SG,78,21,21.3,2.9,6.8,.427,1.2,3.1,.392,1.7,3.7,.457,.516,0.9,1.0,.907,0.3,1.8,2.1,1.3,0.6,0.0,0.7,1.0,7.9
2012-13,25,MEM,NBA,SG,40,4,16.9,2.0,5.0,.407,1.0,2.4,.423,1.0,2.6,.392,.510,0.4,0.4,.938,0.1,1.2,1.3,1.1,0.4,0.0,0.6,1.0,5.5
2012-13,25,CLE,NBA,SG,38,17,25.9,3.8,8.7,.439,1.4,3.8,.371,2.4,4.9,.492,.520,1.4,1.6,.898,0.5,2.5,3.0,1.6,0.8,0.1,0.9,1.1,10.4
2013-14,26,DAL,NBA,SG,45,1,8.7,1.2,2.8,.437,0.6,1.3,.424,0.7,1.5,.448,.536,0.2,0.2,.909,0.2,0.8,1.0,0.4,0.4,0.0,0.2,0.7,3.2
2014-15,27,LAL,NBA,SG,65,36,25.8,3.9,9.5,.412,1.4,3.7,.370,2.5,5.8,.439,.485,0.8,1.0,.813,0.5,2.8,3.2,1.6,0.5,0.0,0.8,1.2,10.0
2015-16,28,BRK,NBA,SG,76,41,21.3,2.9,7.4,.389,1.3,3.5,.358,1.6,3.9,.416,.474,0.7,0.8,.857,0.3,2.0,2.3,1.1,0.6,0.1,0.6,1.1,7.7
2016-17,29,MIA,NBA,SG,62,13,24.2,3.7,9.0,.416,2.4,6.4,.378,1.3,2.6,.509,.550,0.6,0.7,.860,0.3,1.8,2.1,1.1,0.6,0.1,0.5,1.1,10.5
2017-18,30,MIA,NBA,SG,77,2,26.5,3.7,9.1,.407,2.9,7.5,.392,0.8,1.6,.479,.569,0.9,1.0,.859,0.3,2.5,2.8,1.0,0.7,0.1,0.7,1.2,11.2
2018-19,31,TOT,NBA,SG,53,38,24.5,3.5,8.6,.403,2.6,7.0,.371,0.9,1.6,.541,.554,0.7,0.9,.796,0.3,1.8,2.0,1.4,1.0,0.1,0.8,1.7,10.3
2018-19,31,MIA,NBA,SG,25,12,21.3,2.8,7.4,.375,2.3,6.2,.368,0.5,1.2,.414,.530,0.6,0.6,.875,0.2,1.6,1.9,1.2,1.0,0.1,0.6,1.6,8.4
2018-19,31,DET,NBA,SG,28,26,27.3,4.1,9.8,.421,2.9,7.8,.373,1.2,2.0,.607,.570,0.9,1.2,.758,0.3,1.9,2.1,1.5,1.1,0.1,0.9,1.9,12.0
2019-20,32,NYK,NBA,SG,11,1,13.4,1.4,4.2,.326,1.1,3.7,.293,0.3,0.5,.600,.457,0.0,0.1,.000,0.0,1.5,1.5,0.8,0.2,0.1,0.7,0.9,3.8
Career,,,NBA,,656,166,21.1,3.0,7.2,.409,1.5,3.9,.378,1.5,3.3,.447,.513,0.7,0.8,.845,0.3,1.9,2.2,1.1,0.5,0.1,0.7,1.1,8.1
