Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2011-12,21,OKC,NBA,PG,45,0,11.1,1.1,3.5,.321,0.3,1.4,.210,0.8,2.2,.392,.362,0.6,0.6,.862,0.3,0.9,1.2,1.6,0.6,0.0,0.8,0.7,3.1
2012-13,22,OKC,NBA,PG,70,0,14.2,2.1,4.6,.458,0.3,1.5,.231,1.8,3.2,.566,.495,0.7,0.9,.839,0.3,2.1,2.4,1.7,0.4,0.2,0.8,1.2,5.3
2013-14,23,OKC,NBA,PG,80,36,28.5,5.0,11.5,.440,1.0,3.1,.339,4.0,8.4,.477,.485,2.0,2.2,.893,0.5,3.4,3.9,4.1,1.1,0.1,2.1,1.8,13.1
2014-15,24,TOT,NBA,PG,77,40,29.5,5.6,12.9,.434,0.9,3.1,.299,4.7,9.8,.477,.470,2.4,2.8,.830,0.7,3.5,4.2,6.0,0.8,0.1,2.4,2.2,14.5
2014-15,24,OKC,NBA,PG,50,13,28.0,5.0,11.5,.432,0.9,3.2,.278,4.1,8.4,.490,.470,2.0,2.3,.861,0.6,3.5,4.0,4.3,0.8,0.1,1.8,1.9,12.8
2014-15,24,DET,NBA,PG,27,27,32.2,6.8,15.6,.436,1.0,3.1,.337,5.7,12.5,.460,.469,3.0,3.8,.796,1.0,3.6,4.7,9.2,0.7,0.1,3.5,2.7,17.6
2015-16,25,DET,NBA,PG,79,79,30.7,6.8,15.7,.434,1.5,4.2,.353,5.3,11.5,.464,.482,3.7,4.3,.864,0.7,2.5,3.2,6.2,0.7,0.1,2.8,2.4,18.8
2016-17,26,DET,NBA,PG,52,50,27.4,5.5,13.0,.419,1.3,3.5,.359,4.2,9.5,.442,.468,2.3,2.6,.868,0.4,1.8,2.2,5.2,0.7,0.1,2.2,2.5,14.5
2017-18,27,DET,NBA,PG,45,45,26.7,5.5,12.8,.426,1.2,3.8,.308,4.3,9.1,.475,.471,2.5,3.0,.836,0.6,2.1,2.8,5.3,0.6,0.1,2.2,1.9,14.6
2018-19,28,DET,NBA,PG,22,22,28.5,5.2,13.2,.397,2.1,6.3,.333,3.1,6.9,.454,.476,3.4,3.9,.860,0.6,2.1,2.7,4.1,0.7,0.0,1.8,3.0,15.9
Career,,,NBA,,470,272,24.9,4.7,11.0,.428,1.0,3.1,.321,3.7,7.9,.471,.474,2.2,2.5,.858,0.5,2.5,3.0,4.4,0.7,0.1,2.0,1.9,12.6
