Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010-11,22,GSW,NBA,PG,29,0,9.8,1.0,2.5,.389,0.0,0.2,.200,0.9,2.3,.403,.396,0.7,0.9,.760,0.4,0.8,1.2,1.4,1.1,0.3,0.6,1.1,2.6
2011-12,23,NYK,NBA,PG,35,25,26.9,4.9,10.9,.446,0.7,2.1,.320,4.2,8.8,.477,.478,4.2,5.2,.798,0.5,2.5,3.1,6.2,1.6,0.3,3.6,2.2,14.6
2012-13,24,HOU,NBA,PG,82,82,32.2,4.8,10.9,.441,1.1,3.1,.339,3.8,7.8,.483,.490,2.6,3.4,.785,0.4,2.6,3.0,6.1,1.6,0.4,2.9,2.5,13.4
2013-14,25,HOU,NBA,PG,71,33,28.9,4.2,9.3,.446,1.2,3.2,.358,3.0,6.1,.492,.508,3.1,3.7,.823,0.5,2.2,2.6,4.1,1.0,0.4,2.5,2.3,12.5
2014-15,26,LAL,NBA,PG,74,30,25.8,3.7,8.8,.424,0.9,2.4,.369,2.9,6.5,.444,.473,2.9,3.6,.795,0.4,2.3,2.6,4.6,1.1,0.4,2.2,2.6,11.2
2015-16,27,CHO,NBA,SG,78,13,26.3,3.8,9.3,.412,1.0,2.9,.336,2.9,6.4,.446,.464,3.1,3.7,.815,0.5,2.7,3.2,3.0,0.7,0.5,1.9,2.1,11.7
2016-17,28,BRK,NBA,PG,36,33,24.5,4.9,11.1,.438,1.6,4.3,.372,3.3,6.8,.480,.510,3.2,3.9,.816,0.3,3.4,3.8,5.1,1.2,0.4,2.4,2.2,14.5
2017-18,29,BRK,NBA,PG,1,1,25.0,5.0,12.0,.417,1.0,2.0,.500,4.0,10.0,.400,.458,7.0,7.0,1.000,0.0,0.0,0.0,4.0,0.0,0.0,3.0,3.0,18.0
2018-19,30,ATL,NBA,PG,23,0,18.5,3.7,7.1,.512,1.1,2.7,.413,2.5,4.4,.574,.591,2.5,3.0,.841,0.2,2.1,2.3,3.1,0.9,0.1,2.0,2.0,11.0
Career,,,NBA,,429,217,26.1,4.0,9.3,.436,1.0,2.8,.353,3.1,6.5,.471,.489,2.9,3.6,.807,0.4,2.4,2.8,4.4,1.1,0.4,2.3,2.2,11.9
