Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2015-16,27,SAS,NBA,C,54,4,9.4,1.9,3.2,.603,0.0,0.0,,1.9,3.2,.603,.603,1.6,2.1,.763,1.4,2.2,3.6,0.4,0.2,0.4,0.5,1.0,5.5
2016-17,28,DET,NBA,C,35,0,8.4,2.1,3.8,.545,0.0,0.0,,2.1,3.8,.545,.545,1.3,1.7,.810,1.3,2.4,3.7,0.3,0.2,0.3,0.3,0.7,5.5
2017-18,29,TOT,NBA,C,39,1,8.6,2.0,3.8,.534,0.0,0.0,,2.0,3.8,.534,.534,2.0,2.5,.794,1.2,2.5,3.7,0.6,0.3,0.3,0.9,1.3,6.0
2017-18,29,DET,NBA,C,19,1,9.0,2.2,4.2,.519,0.0,0.0,,2.2,4.2,.519,.519,1.9,2.4,.800,0.8,2.2,3.0,0.7,0.2,0.3,1.2,1.5,6.2
2017-18,29,LAC,NBA,C,20,0,8.3,1.9,3.5,.551,0.0,0.0,,1.9,3.5,.551,.551,2.1,2.6,.788,1.7,2.7,4.4,0.4,0.3,0.3,0.7,1.2,5.9
2018-19,30,TOT,NBA,C,58,12,11.7,2.8,4.5,.615,0.1,0.2,.400,2.7,4.3,.624,.623,1.7,2.3,.748,1.5,3.1,4.6,0.9,0.3,0.5,1.0,1.6,7.3
2018-19,30,LAC,NBA,C,36,9,10.4,2.4,3.9,.607,0.0,0.1,.000,2.4,3.8,.616,.607,2.0,2.6,.758,1.5,2.7,4.2,0.6,0.3,0.5,1.0,1.6,6.7
2018-19,30,PHI,NBA,C,22,3,13.9,3.4,5.5,.625,0.2,0.4,.500,3.2,5.1,.634,.642,1.2,1.6,.722,1.5,3.7,5.1,1.5,0.2,0.5,1.0,1.5,8.2
2019-20,31,DAL,NBA,C,5,1,11.8,3.0,5.8,.517,0.0,0.0,,3.0,5.8,.517,.517,1.0,1.2,.833,2.0,3.0,5.0,0.8,0.2,0.2,1.2,1.8,7.0
Career,,,NBA,,191,18,9.8,2.3,3.9,.580,0.0,0.1,.400,2.2,3.8,.583,.583,1.6,2.1,.773,1.4,2.6,4.0,0.6,0.2,0.4,0.7,1.2,6.2
