Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2011-12,22,PHO,NBA,PF,63,7,19.5,2.8,6.9,.399,0.7,2.0,.347,2.1,5.0,.420,.448,1.2,1.7,.717,1.1,3.3,4.4,1.0,0.7,0.7,1.1,2.8,7.4
2012-13,23,PHO,NBA,PF,82,32,22.4,3.2,8.0,.407,0.5,1.6,.336,2.7,6.3,.426,.442,1.1,1.5,.732,1.6,3.2,4.8,1.3,0.9,0.8,1.3,2.5,8.2
2013-14,24,PHO,NBA,PF,81,0,26.6,5.1,10.4,.486,0.4,1.3,.315,4.7,9.1,.512,.507,3.2,4.0,.792,1.7,4.3,6.0,1.8,0.8,0.6,1.8,2.9,13.8
2014-15,25,PHO,NBA,PF,82,82,31.5,6.2,13.4,.465,0.7,2.2,.318,5.5,11.2,.494,.491,2.2,2.8,.763,1.3,4.8,6.2,2.3,1.2,0.5,2.1,3.0,15.3
2015-16,26,TOT,NBA,PF,64,45,25.5,4.8,11.2,.425,0.7,2.4,.303,4.0,8.8,.458,.458,1.7,2.3,.735,1.1,4.4,5.5,1.9,0.9,0.5,2.1,2.9,12.0
2015-16,26,PHO,NBA,PF,37,24,24.8,4.6,11.6,.397,0.6,2.1,.289,4.0,9.6,.420,.422,1.8,2.5,.717,1.2,4.1,5.2,2.4,0.9,0.5,2.4,2.8,11.6
2015-16,26,WAS,NBA,PF,27,21,26.4,5.0,10.6,.467,0.9,2.9,.316,4.0,7.7,.524,.510,1.6,2.0,.764,1.1,4.7,5.9,1.4,0.9,0.6,1.7,3.0,12.4
2016-17,27,WAS,NBA,PF,76,76,31.2,5.3,11.7,.457,0.9,2.6,.362,4.4,9.1,.483,.497,2.4,2.8,.837,1.4,5.1,6.5,1.7,1.1,0.6,1.7,3.3,14.0
2017-18,28,WAS,NBA,PF,73,73,27.0,4.5,9.4,.480,1.0,2.8,.367,3.5,6.6,.529,.536,1.4,1.8,.820,1.0,4.6,5.6,1.9,0.8,0.5,1.7,3.0,11.5
2018-19,29,TOT,NBA,PF,58,16,21.9,3.5,8.3,.421,1.2,3.5,.335,2.3,4.8,.484,.492,1.2,1.6,.772,1.1,3.5,4.6,1.4,0.6,0.4,0.9,3.0,9.4
2018-19,29,WAS,NBA,PF,34,15,26.0,4.2,9.6,.436,1.4,4.2,.333,2.8,5.4,.516,.509,1.7,2.1,.781,1.2,3.9,5.1,1.8,0.7,0.6,1.4,3.4,11.5
2018-19,29,OKC,NBA,PF,24,1,16.1,2.5,6.5,.391,0.8,2.5,.339,1.7,4.0,.423,.455,0.6,0.8,.737,0.8,3.0,3.8,0.8,0.5,0.1,0.3,2.4,6.5
2019-20,30,DET,NBA,PF,15,11,23.4,4.1,8.7,.469,1.7,3.9,.424,2.4,4.7,.507,.565,1.5,2.0,.733,0.5,3.3,3.8,1.7,0.7,0.1,2.0,2.5,11.3
Career,,,NBA,,594,342,25.9,4.5,10.0,.449,0.8,2.3,.341,3.7,7.7,.481,.488,1.8,2.4,.777,1.3,4.2,5.5,1.7,0.9,0.6,1.6,2.9,11.6
