Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2013-14,20,WAS,NBA,SF,37,0,8.6,0.9,2.5,.363,0.1,0.6,.190,0.8,1.9,.414,.385,0.2,0.3,.667,0.6,1.0,1.5,0.3,0.2,0.0,0.4,0.7,2.1
2014-15,21,WAS,NBA,SF,74,13,19.4,2.4,5.3,.450,0.5,1.4,.337,1.9,3.9,.491,.495,0.8,1.1,.734,0.9,2.0,3.0,0.9,0.6,0.4,0.7,1.3,6.0
2015-16,22,WAS,NBA,SF,75,73,30.3,4.5,9.6,.473,1.3,3.6,.367,3.2,6.0,.536,.541,1.3,1.7,.754,1.3,3.9,5.2,1.6,1.4,0.4,0.9,2.2,11.6
2016-17,23,WAS,NBA,SF,80,80,32.6,5.2,10.0,.516,1.9,4.3,.434,3.3,5.8,.576,.608,1.2,1.5,.832,1.5,5.0,6.4,1.5,1.5,0.5,0.6,2.4,13.4
2017-18,24,WAS,NBA,SF,77,77,31.6,5.8,11.5,.503,1.8,4.1,.441,4.0,7.4,.537,.581,1.4,1.7,.828,1.3,5.1,6.4,2.0,1.5,0.5,1.0,2.0,14.7
2018-19,25,TOT,NBA,SF,56,43,30.1,5.3,11.5,.465,1.9,4.6,.406,3.5,6.9,.504,.546,1.4,1.7,.813,1.0,4.6,5.6,2.1,1.5,0.6,1.2,1.9,13.9
2018-19,25,WAS,NBA,SF,41,28,29.0,4.9,10.8,.457,1.6,4.3,.369,3.3,6.5,.515,.531,1.2,1.6,.766,1.0,4.7,5.6,2.0,1.6,0.5,1.0,1.9,12.6
2018-19,25,CHI,NBA,SF,15,15,32.8,6.5,13.4,.483,2.6,5.3,.488,3.9,8.1,.479,.580,1.9,2.1,.906,0.9,4.6,5.5,2.7,1.2,0.6,1.7,1.9,17.5
2019-20,26,CHI,NBA,SF,9,9,25.1,3.9,9.3,.417,1.8,4.4,.400,2.1,4.9,.432,.512,1.7,2.2,.750,0.9,2.6,3.4,1.6,1.0,0.3,0.8,2.2,11.2
Career,,,NBA,,408,295,26.9,4.3,8.9,.482,1.3,3.3,.405,2.9,5.6,.527,.557,1.1,1.4,.791,1.2,3.8,5.0,1.5,1.2,0.4,0.8,1.9,11.0
