Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010-11,21,HOU,NBA,PF,52,6,16.7,2.9,5.1,.558,0.0,0.0,.000,2.9,5.1,.562,.558,0.6,0.8,.714,1.7,2.2,3.8,0.8,0.3,0.7,0.6,1.5,6.3
2011-12,22,HOU,NBA,PF,64,1,23.2,3.5,8.0,.440,0.0,0.0,.000,3.5,7.9,.443,.440,0.6,0.9,.702,1.8,2.7,4.5,0.8,0.4,0.6,0.8,1.8,7.7
2012-13,23,TOT,NBA,PF,71,41,25.0,4.5,8.8,.512,0.7,1.9,.386,3.8,6.9,.546,.553,0.7,0.9,.762,1.6,3.2,4.7,1.1,0.4,0.6,0.9,1.9,10.4
2012-13,23,HOU,NBA,PF,47,38,25.9,5.0,9.7,.519,0.7,2.0,.365,4.3,7.6,.560,.557,0.8,1.0,.755,1.6,3.1,4.7,1.1,0.4,0.6,0.9,1.9,11.6
2012-13,23,SAC,NBA,PF,24,3,23.2,3.5,7.0,.494,0.7,1.5,.444,2.8,5.5,.508,.542,0.5,0.6,.786,1.7,3.2,4.8,1.3,0.5,0.5,0.8,2.0,8.0
2013-14,24,TOT,NBA,PF,65,13,23.6,3.5,7.5,.460,0.8,2.3,.364,2.6,5.2,.503,.516,0.8,1.1,.704,1.8,3.5,5.3,1.2,0.8,0.6,1.0,2.4,8.5
2013-14,24,SAC,NBA,PF,17,6,24.4,2.9,7.2,.410,0.5,2.3,.231,2.4,4.9,.494,.447,0.5,0.9,.563,2.0,3.8,5.8,0.9,0.8,0.2,0.9,2.3,6.9
2013-14,24,TOR,NBA,PF,48,7,23.3,3.6,7.6,.477,1.0,2.3,.411,2.7,5.3,.506,.540,0.9,1.1,.745,1.7,3.3,5.1,1.3,0.9,0.7,1.0,2.5,9.1
2014-15,25,TOR,NBA,PF,81,4,26.6,3.0,6.6,.449,1.3,3.5,.371,1.7,3.1,.536,.547,0.8,1.0,.788,1.6,3.8,5.3,1.9,0.7,0.5,0.7,1.8,8.0
2015-16,26,TOR,NBA,PF,79,0,25.6,2.6,6.2,.414,1.3,3.7,.362,1.2,2.5,.490,.521,0.4,0.4,.853,1.0,3.4,4.3,1.2,0.7,0.4,0.8,1.6,6.9
2016-17,27,TOR,NBA,PF,65,8,24.6,2.4,5.9,.401,1.4,3.9,.372,0.9,2.0,.458,.523,0.7,0.9,.717,1.0,3.6,4.5,1.2,0.6,0.4,0.6,1.8,6.8
2017-18,28,OKC,NBA,PF,82,3,15.5,1.3,3.2,.398,0.8,2.1,.386,0.5,1.2,.421,.523,0.5,0.6,.870,0.4,2.0,2.4,0.7,0.6,0.3,0.4,1.1,3.9
2018-19,29,OKC,NBA,PF,63,5,13.7,1.3,3.5,.374,0.7,2.2,.336,0.6,1.3,.439,.479,0.3,0.5,.633,0.7,1.7,2.3,0.5,0.3,0.2,0.3,0.7,3.6
2019-20,30,LAC,NBA,PF,14,11,16.4,1.6,4.4,.355,1.3,3.4,.383,0.3,1.1,.267,.500,0.1,0.3,.500,0.8,2.4,3.1,0.9,0.1,0.1,0.4,0.9,4.6
Career,,,NBA,,636,92,21.7,2.7,6.1,.448,0.9,2.3,.368,1.9,3.7,.499,.519,0.6,0.8,.747,1.2,2.9,4.1,1.1,0.5,0.5,0.7,1.6,6.9
